aardvark, ɑrdvɑrk, 'ɑrdˌvɑrk
abilities, əbɪlətiz, ə'bɪ lə tiz
ability, əbɪləti, ə'bɪ lə ti
abject, æbdʒɛkt, 'æb dʒɛkt
ablaze, əblez, ə'blez
able, ebəl, 'e bəl
abler, ebələr, 'e bə lər
abler, eblər, 'e blər
ables, ebəlz, 'e bəlz
ablest, ebəlst, 'e bəlst
ablest, ebləst, 'e bləst
abloom, əblum, ə'blum
ably, ebli, 'e bli
abnormal, æbnɔrməl, æb'nɔr məl
abnormalities, æbnɔrmælətiz, ˌæb nɔr'mæ lə tiz
abnormality, æbnɔrmæləti, ˌæb nɔr'mæ lə ti
abnormally, æbnɔrməli, æb'nɔr mə li
abo, ɑbo, 'ɑ bo
aboard, əbɔrd, ə'bɔrd
abode, əbod, ə'bod
abolish, əbɑlɪʃ, ə'bɑ lɪʃ
abolished, əbɑlɪʃt, ə'bɑ lɪʃt
abolishes, əbɑlɪʃɪz, ə'bɑ lɪ ʃɪz
abolishing, əbɑlɪʃɪŋ, ə'bɑ lɪ ʃɪŋ
abolition, æbəlɪʃən, ˌæ bə'lɪ ʃən
abolitionism, æbəlɪʃənɪzəm, ˌæ bə'lɪ ʃəˌnɪ zəm
abolitionist, æbəlɪʃənəst, ˌæ bə'lɪ ʃə nəst
abolitionists, æbəlɪʃənəsts, ˌæ bə'lɪ ʃə nəsts
abolitionists, æbəlɪʃənəs, ˌæ bə'lɪ ʃə nəs
abominable, əbɑmənəbəl, ə'bɑ mə nə bəl
abomination, əbɑməneʃən, əˌbɑ mə'ne ʃən
aboriginal, æbərɪdʒənəl, ˌæ bə'rɪ dʒə nəl
aborigine, æbərɪdʒəni, ˌæ bə'rɪ dʒə ni
aborigines, æbərɪdʒəniz, ˌæ bə'rɪ dʒə niz
abort, əbɔrt, ə'bɔrt
aborted, əbɔrtɪd, ə'bɔr tɪd
abortifacient, əbɔrtəfeʃənt, əˌbɔr tə'fe ʃənt
abortifacients, əbɔrtəfeʃənts, əˌbɔr tə'fe ʃənts
aborting, əbɔrtɪŋ, ə'bɔr tɪŋ
abortion, əbɔrʃən, ə'bɔr ʃən
abortionist, əbɔrʃənɪst, ə'bɔr ʃə nɪst
abortionists, əbɔrʃənɪsts, ə'bɔr ʃə nɪsts
abortionists, əbɔrʃənɪs, ə'bɔr ʃə nɪs
abortions, əbɔrʃənz, ə'bɔr ʃənz
abortive, əbɔrtɪv, ə'bɔr tɪv
aborts, əbɔrts, ə'bɔrts
abound, əbaʊnd, ə'baʊnd
abounded, əbaʊndɪd, ə'baʊn dɪd
abounding, əbaʊndɪŋ, ə'baʊn dɪŋ
abounds, əbaʊndz, ə'baʊndz
about, əbaʊt, ə'baʊt
above, əbʌv, ə'bʌv
aboveboard, əbʌvbɔrd, ə'bʌvˌbɔrd
abracadabra, æbrəkədæbrə, ˌæ brə kə'dæ brə
abrasion, əbreʒən, ə'bre ʒən
abrasions, əbreʒənz, ə'bre ʒənz
abrasive, əbresɪv, ə'bre sɪv
abrasives, əbresɪvz, ə'bre sɪvz
abreast, əbrɛst, ə'brɛst
abridge, əbrɪdʒ, ə'brɪdʒ
abridged, əbrɪdʒd, ə'brɪdʒd
abridgement, əbrɪdʒmənt, ə'brɪdʒ mənt
abridges, əbrɪdʒəz, ə'brɪ dʒəz
abridging, əbrɪdʒɪŋ, ə'brɪ dʒɪŋ
abroad, əbrɔd, ə'brɔd
abrogate, æbrəget, 'æ brəˌget
abrogated, æbrəgetɪd, 'æ brəˌge tɪd
abrogating, æbrəgetɪŋ, 'æ brəˌge tɪŋ
abrogation, æbrəgeʃən, ˌæ brə'ge ʃən
abrupt, əbrʌpt, ə'brʌpt
abruptly, əbrʌptli, ə'brʌpt li
abruptness, əbrʌptnəs, ə'brʌpt nəs
abs, ebiɛs, 'e'bi'ɛs
abs, æbz, æbz
abscess, æbsɛs, 'æbˌsɛs
abscond, æbskɑnd, æb'skɑnd
absconded, æbskɑndəd, æb'skɑn dəd
absconding, æbskɑndɪŋ, æb'skɑn dɪŋ
absconds, æbskɑndz, æb'skɑndz
absence, æbsəns, 'æb səns
absences, æbsənsɪz, 'æb sən sɪz
absent, æbsənt, 'æb sənt
absentee, æbsənti, ˌæb sən'ti
absenteeism, æbsəntiɪzəm, ˌæb sən'ti ɪ zəm
absentees, æbsəntiz, ˌæb sən'tiz
absinthe, æbsɪnθ, 'æb sɪnθ
absolute, æbsəlut, 'æb səˌlut
absolutely, æbsəlutli, ˌæb sə'lut li
absoluteness, æbsəlutnəs, 'æb səˌlut nəs
absolutes, æbsəluts, 'æb səˌluts
absolution, æbsəluʃən, ˌæb sə'lu ʃən
absolutism, æbsəlutɪzəm, 'æb səˌluˌtɪ zəm
absolutist, æbsɪlutɪst, æb sɪ'lu tɪst
absolve, əbzɑlv, əb'zɑlv
absolve, æbzɑlv, æb'zɑlv
absolved, əbzɑlvd, əb'zɑlvd
absolved, æbzɑlvd, æb'zɑlvd
absolves, əbzɑlvz, əb'zɑlvz
absolves, æbzɑlvz, æb'zɑlvz
absolving, əbzɑlvɪŋ, əb'zɑl vɪŋ
absolving, æbzɑlvɪŋ, æb'zɑl vɪŋ
absorb, əbzɔrb, əb'zɔrb
absorbed, əbzɔrbd, əb'zɔrbd
absorbency, əbzɔrbənsi, əb'zɔr bən si
absorbent, əbzɔrbənt, əb'zɔr bənt
absorber, əbzɔrbər, əb'zɔr bər
absorbers, əbzɔrbərz, əb'zɔr bərz
absorbing, əbzɔrbɪŋ, əb'zɔr bɪŋ
absorbs, əbzɔrbz, əb'zɔrbz
absorption, əbzɔrpʃən, əb'zɔrp ʃən
absorption, əbsɔrpʃən, əb'sɔrp ʃən
abstain, əbsten, əb'sten
abstain, æbsten, æb'sten
abstained, əbstend, əb'stend
abstained, æbstend, æb'stend
abstaining, əbstenɪŋ, əb'ste nɪŋ
abstaining, æbstenɪŋ, æb'ste nɪŋ
abstention, əbstɛntʃən, əb'stɛn tʃən
abstention, æbstɛntʃən, æb'stɛn tʃən
abstentions, əbstɛntʃənz, əb'stɛn tʃənz
abstentions, æbstɛntʃənz, æb'stɛn tʃənz
abstinence, æbstənəns, 'æb stə nəns
abstinent, æbstənənt, 'æb stə nənt
abstract, æbstrækt, æb'strækt
abstract, æbstrækt, 'æbˌstrækt
abstracted, æbstræktɪd, 'æbˌstræk tɪd
abstraction, æbstrækʃən, æb'stræk ʃən
abstractions, æbstrækʃənz, æb'stræk ʃənz
abstracts, æbstrækts, 'æb strækts
abstruse, əbstrus, əb'strus
absurd, əbsɜrd, əb'sɜrd
absurdist, əbsɜrdɪst, əb'sɜr dɪst
absurdities, əbsɜrdətiz, əb'sɜr də tiz
absurdity, əbsɜrdəti, əb'sɜr də ti
absurdly, əbsɜrdli, əb'sɜrd li
abundance, əbʌndəns, ə'bʌn dəns
abundant, əbʌndənt, ə'bʌn dənt
abundantly, əbʌndəntli, ə'bʌn dənt li
abuse, əbjus, ə'bjus
abuse, əbjuz, ə'bjuz
abused, əbjuzd, ə'bjuzd
abuser, əbjuzər, ə'bju zər
abusers, əbjuzərz, ə'bju zərz
abuses, əbjusɪz, ə'bju sɪz
abuses, əbjuzɪz, ə'bju zɪz
abusing, əbjuzɪŋ, ə'bju zɪŋ
abusive, əbjusɪv, ə'bju sɪv
abut, əbʌt, ə'bʌt
abuts, əbʌts, ə'bʌts
abutted, əbʌtəd, ə'bʌ təd
abutting, əbʌtɪŋ, ə'bʌ tɪŋ
abuzz, əbʌz, ə'bʌz
abysmal, əbɪzməl, ə'bɪz məl
abysmally, əbɪzməli, ə'bɪz mə li
abyss, əbɪs, ə'bɪs
acacia, əkeʃə, ə'ke ʃə
academe, ækədim, 'æ kəˌdim
academia, ækədimiə, ˌæ kə'di miə
academic, ækədɛmɪk, ˌæ kə'dɛ mɪk
academically, ækədɛmɪkli, ˌæ kə'dɛ mɪ kli
academician, ækədəmɪʃən, ˌæ kə də'mɪ ʃən
academicians, ækədəmɪʃənz, ˌæ kə də'mɪ ʃənz
academicians, əkædəmɪʃənz, əˌkæ də'mɪ ʃənz
academics, ækədɛmɪks, ˌæ kə'dɛ mɪks
academies, əkædəmiz, ə'kæ də miz
academy, əkædəmi, ə'kæ də mi
accede, æksid, æk'sid
acceded, æksidɪd, æk'si dɪd
accedes, æksidz, æk'sidz
acceding, æksidɪŋ, æk'si dɪŋ
accelerant, æksɛlərənt, æk'sɛ lə rənt
accelerants, æksɛlərənts, æk'sɛ lə rənts
accelerate, æksɛləret, æk'sɛ ləˌret
accelerated, æksɛləretɪd, æk'sɛ ləˌre tɪd
accelerates, æksɛlərets, æk'sɛ ləˌrets
accelerating, æksɛləretɪŋ, æk'sɛ ləˌre tɪŋ
acceleration, æksɛləreʃən, ˌækˌsɛ lə're ʃən
accelerator, æksɛləretər, æk'sɛ ləˌre tər
accelerators, æksɛləretərz, æk'sɛ ləˌre tərz
accelerometer, æksɛlərɑmətər, ækˌsɛ lə'rɑ mə tər
accelerometers, æksɛlərɑmətərz, ækˌsɛ lə'rɑ mə tərz
accent, əksɛnt, ək'sɛnt
accent, æksɛnt, 'ækˌsɛnt
accented, æksɛntɪd, 'æk sɛn tɪd
accenting, æksɛntɪŋ, 'æk sɛn tɪŋ
accents, æksɛnts, 'æk sɛnts
accentuate, æksɛntʃuet, æk'sɛn tʃu et
accentuated, æksɛntʃəwetɪd, æk'sɛn tʃəˌwe tɪd
accentuates, æksɛntʃuets, æk'sɛn tʃu ets
accentuating, æksɛntʃəwetɪŋ, æk'sɛn tʃəˌwe tɪŋ
accept, æksɛpt, æk'sɛpt
accept, əksɛpt, ək'sɛpt
acceptability, əksɛptəbɪləti, əkˌsɛp tə'bɪ lə ti
acceptable, æksɛptəbəl, æk'sɛp tə bəl
acceptable, əksɛptəbəl, ək'sɛp tə bəl
acceptably, æksɛptəbli, æk'sɛp tə bli
acceptably, əksɛptəbli, ək'sɛp tə bli
acceptance, æksɛptəns, æk'sɛp təns
acceptance, əksɛptəns, ək'sɛp təns
acceptances, æksɛptənsɪz, æk'sɛp tən sɪz
accepted, æksɛptɪd, æk'sɛp tɪd
accepted, əksɛptəd, ək'sɛp təd
accepting, æksɛptɪŋ, æk'sɛp tɪŋ
accepting, əksɛptɪŋ, ək'sɛp tɪŋ
accepts, æksɛpts, æk'sɛpts
access, æksɛs, 'ækˌsɛs
accessed, æksɛst, 'ækˌsɛst
accessibility, æksɛsəbɪlɪti, ˌæk sɛ sə'bɪ lɪ ti
accessible, æksɛsəbəl, æk'sɛ sə bəl
accessing, æksɛsɪŋ, 'ækˌsɛ sɪŋ
accession, əksɛʃən, ək'sɛ ʃən
accessories, æksɛsəriz, æk'sɛ sə riz
accessorize, æksɛsəraɪz, æk'sɛ səˌraɪz
accessorized, æksɛsəraɪzd, æk'sɛ səˌraɪzd
accessory, æksɛsəri, æk'sɛ sə ri
accident, æksədənt, 'æk sə dənt
accidental, æksədɛntəl, ˌæk sə'dɛn təl
accidental, æksədɛnəl, ˌæk sə'dɛ nəl
accidentally, æksədɛntəli, ˌæk sə'dɛn tə li
accidentally, æksədɛnəli, ˌæk sə'dɛ nə li
accidently, æksədəntli, 'æk sə dənt li
accidents, æksədənts, 'æk sə dənts
acclaim, əklem, ə'klem
acclaimed, əklemd, ə'klemd
acclaiming, əklemɪŋ, ə'kle mɪŋ
acclaims, əklemz, ə'klemz
acclamation, ækləmeʃən, ˌæ klə'me ʃən
acclimate, ækləmet, 'æ kləˌmet
acclimated, ækləmetɪd, 'æ kləˌme tɪd
acclimation, ækləmeʃən, ˌæ klə'me ʃən
accolade, ækəled, 'æ kəˌled
accolades, ækəledz, 'æ kəˌledz
accommodate, əkɑmədet, ə'kɑ məˌdet
accommodated, əkɑmədetəd, ə'kɑ məˌde təd
accommodates, əkɑmədets, ə'kɑ məˌdets
accommodating, əkɑmədetɪŋ, ə'kɑ məˌde tɪŋ
accommodation, əkɑmədeʃən, əˌkɑ mə'de ʃən
accommodations, əkɑmədeʃənz, əˌkɑ mə'de ʃənz
accommodative, əkɑmədetɪv, ə'kɑ məˌde tɪv
accompanied, əkʌmpənid, ə'kʌm pə nid
accompanies, əkʌmpəniz, ə'kʌm pə niz
accompaniment, əkʌmpnɪmənt, ə'kʌmp nɪ mənt
accompaniment, əkʌmpnimənt, ə'kʌmp ni mənt
accompaniments, əkʌmpnɪmənts, ə'kʌmp nɪ mənts
accompaniments, əkʌmpnimənts, ə'kʌmp ni mənts
accompanist, əkʌmpənəst, ə'kʌm pə nəst
accompany, əkʌmpəni, ə'kʌm pə ni
accompanying, əkʌmpəniɪŋ, ə'kʌm pə ni ɪŋ
accomplice, əkɑmpləs, ə'kɑm pləs
accomplices, əkɑmpləsəz, ə'kɑm plə səz
accomplish, əkɑmplɪʃ, ə'kɑm plɪʃ
accomplished, əkɑmplɪʃt, ə'kɑm plɪʃt
accomplishes, əkɑmplɪʃɪz, ə'kɑm plɪ ʃɪz
accomplishing, əkɑmplɪʃɪŋ, ə'kɑm plɪ ʃɪŋ
accomplishment, əkɑmplɪʃmənt, ə'kɑm plɪʃ mənt
accomplishments, əkɑmplɪʃmənts, ə'kɑm plɪʃ mənts
accord, əkɔrd, ə'kɔrd
accordance, əkɔrdəns, ə'kɔr dəns
accorded, əkɔrdɪd, ə'kɔr dɪd
according, əkɔrdɪŋ, ə'kɔr dɪŋ
accordingly, əkɔrdɪŋli, ə'kɔr dɪŋ li
accordion, əkɔrdiən, ə'kɔr diən
accordions, əkɔrdiənz, ə'kɔr diənz
accords, əkɔrdz, ə'kɔrdz
accost, əkɔst, ə'kɔst
accosted, əkɑstəd, ə'kɑ stəd
accosting, əkɑstɪŋ, ə'kɑ stɪŋ
account, əkaʊnt, ə'kaʊnt
accountability, əkaʊntəbɪlɪti, ə'kaʊn tə bɪ lɪ ti
accountability, əkaʊnəbɪlɪti, ə'kaʊ nə bɪ lɪ ti
accountable, əkaʊntəbəl, ə'kaʊn tə bəl
accountable, əkaʊnəbəl, ə'kaʊ nə bəl
accountancy, əkaʊntənsi, ə'kaʊn tən si
accountant, əkaʊntənt, ə'kaʊn tənt
accountants, əkaʊntənts, ə'kaʊn tənts
accounted, əkaʊntəd, ə'kaʊn təd
accounted, əkaʊnəd, ə'kaʊ nəd
accounting, əkaʊntɪŋ, ə'kaʊn tɪŋ
accounting, əkaʊnɪŋ, ə'kaʊ nɪŋ
accounts, əkaʊnts, ə'kaʊnts
accouterment, əkutərmənt, ə'ku tər mənt
accouterments, əkutərmənts, ə'ku tər mənts
accoutrement, əkutərmənt, ə'ku tər mənt
accoutrements, əkutərmənts, ə'ku tər mənts
accredit, əkrɛdət, əˌkrɛ dət
accreditation, əkrɛdəteʃən, əˌkrɛ də'te ʃən
accreditations, əkrɛdədeʃənz, əˌkrɛ də'de ʃənz
accredited, əkrɛdɪtɪd, ə'krɛ dɪ tɪd
accrediting, əkrɛdətɪŋ, ə'krɛ də tɪŋ
accreted, əkritɪd, ə'kri tɪd
accretion, əkriʃən, ə'kri ʃən
accrual, əkruəl, ə'kruəl
accruals, əkruəlz, ə'kruəlz
accrue, əkru, ə'kru
accrued, əkrud, ə'krud
accrues, əkruz, ə'kruz
accruing, əkruɪŋ, ə'kru ɪŋ
accumulate, əkjumjəlet, ə'kjum jəˌlet
accumulated, əkjumjəletɪd, ə'kjum jəˌle tɪd
accumulates, əkjumjəlets, ə'kjum jəˌlets
accumulating, əkjumjəletɪŋ, ə'kjum jəˌle tɪŋ
accumulation, əkjumjəleʃən, əˌkjum jə'le ʃən
accumulations, əkjumjəleʃənz, əˌkjum jə'le ʃənz
accumulative, əkjumjəletɪv, ə'kjum jəˌle tɪv
accumulatively, əkjumjəletɪvli, ə'kjum jəˌle tɪv li
accumulatively, əkjumjələtɪvli, ə'kjum jə lə tɪv li
accumulator, əkjumjəletər, ə'kjum jəˌle tər
accumulators, əkjumjəletərz, ə'kjum jəˌle tərz
accuracies, ækjərəsiz, 'æ kjə rə siz
accuracy, ækjərəsi, 'æ kjə rə si
accurate, ækjərət, 'æ kjə rət
accurately, ækjərətli, 'æ kjə rət li
accusation, ækjəzeʃən, ˌæ kjə'ze ʃən
accusation, ækjuzeʃən, ˌæ kju'ze ʃən
accusations, ækjəzeʃənz, ˌæ kjə'ze ʃənz
accusations, ækjuzeʃənz, ˌæ kju'ze ʃənz
accusative, əkjuzətɪv, ə'kju zə tɪv
accusatory, əkjuzətɔri, ə'kju zəˌtɔ ri
accuse, əkjuz, ə'kjuz
accused, əkjuzd, ə'kjuzd
accuser, əkjuzər, ə'kju zər
accusers, əkjuzərz, ə'kju zərz
accuses, əkjuzɪz, ə'kju zɪz
accusing, əkjuzɪŋ, ə'kju zɪŋ
accusingly, əkjuzɪŋli, ə'kju zɪŋ li
accustom, əkʌstəm, ə'kʌ stəm
accustomed, əkʌstəmd, ə'kʌ stəmd
ace, es, es
aced, est, est
acerbic, əsɛrbɪk, ə'sɛr bɪk
aces, esɪz, 'e sɪz
acetaminophen, əsitəmɪnəfən, əˌsi tə'mɪ nə fən
acetate, æsətet, 'æ səˌtet
acetic, əsɛtɪk, ə'sɛ tɪk
acetic, əsitɪk, ə'si tɪk
acetone, æsəton, 'æ səˌton
acetylcholine, əsɛtəlkolin, əˌsɛ təl'ko lin
acetylcholine, əsitəlkolin, əˌsi təl'ko lin
acetylene, əsɛtəlin, ə'sɛ təˌlin
ache, ek, ek
ached, ekt, ekt
aches, eks, eks
achievable, ətʃivəbəl, ə'tʃi və bəl
achieve, ətʃiv, ə'tʃiv
achieved, ətʃivd, ə'tʃivd
achievement, ətʃivmənt, ə'tʃiv mənt
achievements, ətʃivmənts, ə'tʃiv mənts
achiever, ətʃivər, ə'tʃi vər
achievers, ətʃivərz, ə'tʃi vərz
achieves, ətʃivz, ə'tʃivz
achieving, ətʃivɪŋ, ə'tʃi vɪŋ
aching, ekɪŋ, 'e kɪŋ
achingly, ekɪŋli, 'e kɪŋ li
achy, eki, 'e ki
acid, æsəd, 'æ səd
acidic, əsɪdɪk, ə'sɪ dɪk
acidification, əsɪdəfəkeʃən, əˌsɪ də fə'ke ʃən
acidified, əsɪdəfaɪd, ə'sɪ dəˌfaɪd
acidifies, əsɪdəfaɪz, ə'sɪ dəˌfaɪz
acidify, əsɪdəfaɪ, ə'sɪ dəˌfaɪ
acidity, əsɪdəti, ə'sɪ də ti
acidly, æsədli, 'æ səd li
acidosis, æsədosəs, ˌæ sə'do səs
acids, æsədz, 'æ sədz
aciduria, æsədʊriə, ˌæ sə'dʊ riə
acknowledge, æknɑlɪdʒ, æk'nɑ lɪdʒ
acknowledge, ɪknɑlɪdʒ, ɪk'nɑ lɪdʒ
acknowledged, æknɑlɪdʒd, æk'nɑ lɪdʒd
acknowledged, ɪknɑlɪdʒd, ɪk'nɑ lɪdʒd
acknowledgement, æknɑlɪdʒmənt, æk'nɑ lɪdʒ mənt
acknowledgement, ɪknɑlɪdʒmənt, ɪk'nɑ lɪdʒ mənt
acknowledgements, æknɑlɪdʒmənts, æk'nɑ lɪdʒ mənts
acknowledgements, ɪknɑlɪdʒmənts, ɪk'nɑ lɪdʒ mənts
acknowledges, æknɑlɪdʒɪz, æk'nɑ lɪ dʒɪz
acknowledges, ɪknɑlɪdʒɪz, ɪk'nɑ lɪ dʒɪz
acknowledging, æknɑlɪdʒɪŋ, æk'nɑ lɪ dʒɪŋ
acknowledging, ɪknɑlɪdʒɪŋ, ɪk'nɑ lɪ dʒɪŋ
acknowledgment, æknɑlɪdʒmənt, æk'nɑ lɪdʒ mənt
acknowledgment, ɪknɑlɪdʒmənt, ɪk'nɑ lɪdʒ mənt
acme, ækmi, 'æk mi
acne, ækni, 'æk ni
acolyte, ækəlaɪt, 'æ kəˌlaɪt
acolytes, ækəlaɪts, 'æ kəˌlaɪts
acorn, ekɔrn, 'e kɔrn
acorns, ekɔrnz, 'e kɔrnz
acoustic, əkustɪk, ə'ku stɪk
acoustical, əkustɪkəl, ə'ku stɪ kəl
acoustically, əkustɪkli, ə'ku stɪ kli
acoustics, əkustɪks, ə'ku stɪks
acquaint, əkwent, ə'kwent
acquaintance, əkwentəns, ə'kwen təns
acquaintances, əkwentənsɪz, ə'kwen tən sɪz
acquaintanceship, əkwentənsʃɪp, ə'kwen təns ʃɪp
acquainted, əkwentɪd, ə'kwen tɪd
acquainted, əkwenɪd, ə'kwe nɪd
acquiesce, ækwiɛs, ˌæ kwi'ɛs
acquiesced, ækwiɛst, ˌæ kwi'ɛst
acquiescence, ækwiɛsəns, ˌæ kwi'ɛ səns
acquiescing, ækwiɛsɪŋ, ˌæ kwi'ɛ sɪŋ
acquire, əkwaɪər, ə'kwaɪ ər
acquired, əkwaɪərd, ə'kwaɪ ərd
acquirer, əkwaɪərər, ə'kwaɪ ə rər
acquirers, əkwaɪərərz, ə'kwaɪ ə rərz
acquires, əkwaɪərz, ə'kwaɪ ərz
acquiring, əkwaɪrɪŋ, ə'kwaɪ rɪŋ
acquiring, əkwaɪərɪŋ, ə'kwaɪ ə rɪŋ
acquisition, ækwəzɪʃən, ˌæ kwə'zɪ ʃən
acquisitions, ækwəzɪʃənz, ˌæ kwə'zɪ ʃənz
acquisitive, əkwɪzətɪv, ə'kwɪ zə tɪv
acquit, əkwɪt, ə'kwɪt
acquits, əkwɪts, ə'kwɪts
acquittal, əkwɪtəl, ə'kwɪ təl
acquittals, əkwɪtəlz, ə'kwɪ təlz
acquitted, əkwɪtəd, ə'kwɪ təd
acquitted, əkwɪtɪd, ə'kwɪ tɪd
acquitting, əkwɪtɪŋ, ə'kwɪ tɪŋ
acre, ekər, 'e kər
acreage, ekərɪdʒ, 'e kə rɪdʒ
acreage, ekrədʒ, 'e krədʒ
acres, ekərz, 'e kərz
acrid, ækrɪd, 'æ krɪd
acrimonious, ækrəmoniəs, ˌæ krə'mo niəs
acrimony, ækrɪmoni, 'æ krɪˌmo ni
acrobat, ækrəbæt, 'æ krəˌbæt
acrobatic, ækrəbætɪk, ˌæ krə'bæ tɪk
acrobatics, ækrəbætɪks, ˌæ krə'bæ tɪks
acrobats, ækrəbæts, 'æ krəˌbæts
acrolein, ækrolin, 'æ kroˌlin
acronym, ækrənɪm, 'æ krə nɪm
acronyms, ækrənɪmz, 'æ krə nɪmz
acropolis, əkrɑpələs, ə'krɑ pə ləs
across, əkrɔs, ə'krɔs
acrylic, əkrɪlɪk, ə'krɪ lɪk
acrylics, əkrɪlɪks, ə'krɪ lɪks
act, ækt, ækt
acted, æktəd, 'æk təd
acted, æktɪd, 'æk tɪd
actin, æktən, 'æk tən
acting, æktɪŋ, 'æk tɪŋ
actinide, æktɪnaɪd, 'æk tɪˌnaɪd
actinomycosis, æktɪnomaɪkosɪs, æk'tɪ no'maɪ'ko sɪs
action, ækʃən, 'æk ʃən
actionable, ækʃənəbəl, 'æk ʃə nə bəl
actions, ækʃənz, 'æk ʃənz
activate, æktəvet, 'æk təˌvet
activated, æktəvetəd, 'æk təˌve təd
activated, æktɪvetɪd, 'æk tɪˌve tɪd
activates, æktəvets, 'æk təˌvets
activating, æktəvetɪŋ, 'æk təˌve tɪŋ
activation, æktəveʃən, ˌæk tə've ʃən
activator, æktəvetər, 'æk təˌve tər
active, æktɪv, 'æk tɪv
actively, æktɪvli, 'æk tɪv li
actives, æktɪvz, 'æk tɪvz
activism, æktɪvɪzəm, 'æk tɪˌvɪ zəm
activist, æktəvəst, 'æk tə vəst
activist, æktɪvɪst, 'æk tɪ vɪst
activists, æktəvəsts, 'æk tə vəsts
activists, æktɪvɪsts, 'æk tɪ vɪsts
activists, æktəvəs, 'æk tə vəs
activists, æktɪvɪs, 'æk tɪ vɪs
activities, æktɪvətiz, æk'tɪ və tiz
activities, æktɪvɪtiz, æk'tɪ vɪ tiz
activity, æktɪvəti, æk'tɪ və ti
activity, æktɪvɪti, æk'tɪ vɪ ti
actor, æktər, 'æk tər
actors, æktərz, 'æk tərz
actress, æktrəs, 'æk trəs
actresses, æktrəsɪz, 'æk trə sɪz
acts, ækts, ækts
acts, æks, æks
actual, æktʃəwəl, 'æk tʃə wəl
actual, ækʃəl, 'æk ʃəl
actuality, æktʃəwæləti, ˌæk tʃə'wæ lə ti
actualize, æktʃəwəlaɪz, 'æk tʃə wəˌlaɪz
